Unnamed: 0,subjid,g,d,c,rt_mu,rt_sd,ice,prob,notation,operation,operands,denoms,key,steps,time,acc,ans,KDON_AS,KDON_OG,CDON_AS,CDON_OG,ONOD_M,ONOD_OG,CROP_M,ICDM_D,ICDM_OG
3,517,0.06,0.1,5,6,1,50,2/3+3/5,fraction,add,FR,UD,1.266666666666667,12,0.06773472600616515,0,5/8,0,0,0,0,0,1,0,0,0
4,517,0.06,0.1,5,6,1,50,3/5-1/5,fraction,sub,FR,ED,0.4,8,0.03472434799186885,1,2/5,1,0,0,0,0,0,0,0,0
5,517,0.06,0.1,5,6,1,50,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,8,0.03461095807142556,1,1/5,1,0,0,0,0,0,0,0,0
6,517,0.06,0.1,5,6,1,50,3/5-1/4,fraction,sub,FR,UD,0.35,10,0.04779245192185044,0,2/1,0,0,0,0,0,1,0,0,0
7,517,0.06,0.1,5,6,1,50,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,10,0.04743159306235611,0,1/2,0,0,0,0,0,1,0,0,0
8,517,0.06,0.1,5,6,1,50,3/5*1/5,fraction,mul,FR,ED,0.12,15,0.07181415590457618,1,3/25,0,0,0,0,0,1,0,0,0
9,517,0.06,0.1,5,6,1,50,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,12,0.06621689419262111,1,12/25,0,0,0,0,0,1,0,0,0
10,517,0.06,0.1,5,6,1,50,3/5*1/4,fraction,mul,FR,UD,0.15,12,0.06700204196386039,1,3/20,0,0,0,0,0,1,0,0,0
11,517,0.06,0.1,5,6,1,50,2/3*3/5,fraction,mul,FR,UD,0.4,12,0.06870635598897934,1,6/15,0,0,0,0,0,1,0,0,0
12,517,0.06,0.1,5,6,1,50,3/5:1/5,fraction,div,FR,ED,3.0,11,0.03982056793756783,0,3/5,0,1,0,0,0,0,0,0,0
13,517,0.06,0.1,5,6,1,50,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.0345115780364722,0,1/5,0,1,0,0,0,0,0,0,0
14,517,0.06,0.1,5,6,1,50,3/5:1/4,fraction,div,FR,UD,2.4,10,0.04772463697008789,0,3/1,0,0,0,0,0,1,0,0,0
15,517,0.06,0.1,5,6,1,50,2/3:3/5,fraction,div,FR,UD,1.111111111111111,10,0.04756570979952812,0,0/0,0,0,0,0,0,1,0,0,0
0,840,0.09,0.5,5,3,1,0,3/5+1/5,fraction,add,FR,ED,0.8,12,0.04350936901755631,1,4/5,1,0,0,0,0,0,0,0,0
1,840,0.09,0.5,5,3,1,0,4/5+3/5,fraction,add,FR,ED,1.4,9,0.03821933106519282,1,7/5,0,1,0,0,0,0,0,0,0
2,840,0.09,0.5,5,3,1,0,3/5+1/4,fraction,add,FR,UD,0.85,55,0.2557708770036697,1,17/20,0,0,1,0,0,0,0,0,0
3,840,0.09,0.5,5,3,1,0,2/3+3/5,fraction,add,FR,UD,1.266666666666667,66,0.2308254018425941,1,19/15,0,0,1,0,0,0,0,0,0
4,840,0.09,0.5,5,3,1,0,3/5-1/5,fraction,sub,FR,ED,0.4,8,0.02983481413684785,1,2/5,0,1,0,0,0,0,0,0,0
5,840,0.09,0.5,5,3,1,0,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,8,0.02995267184451222,1,1/5,0,1,0,0,0,0,0,0,0
6,840,0.09,0.5,5,3,1,0,3/5-1/4,fraction,sub,FR,UD,0.35,33,0.1404165090061724,1,7/20,0,0,0,1,0,0,0,0,0
7,840,0.09,0.5,5,3,1,0,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,10,0.04091494507156312,0,-1/-2,0,0,0,0,0,1,0,0,0
8,840,0.09,0.5,5,3,1,0,3/5*1/5,fraction,mul,FR,ED,0.12,12,0.05773830786347389,1,3/25,0,0,0,0,0,1,0,0,0
9,840,0.09,0.5,5,3,1,0,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,12,0.05738148698583245,1,12/25,0,0,0,0,1,0,0,0,0
10,840,0.09,0.5,5,3,1,0,3/5*1/4,fraction,mul,FR,UD,0.15,12,0.05779544007964432,1,3/20,0,0,0,0,0,1,0,0,0
11,840,0.09,0.5,5,3,1,0,2/3*3/5,fraction,mul,FR,UD,0.4,12,0.0576602378860116,1,6/15,0,0,0,0,0,1,0,0,0
12,840,0.09,0.5,5,3,1,0,3/5:1/5,fraction,div,FR,ED,3.0,10,0.04097772901877761,1,3/1,0,0,0,0,0,1,0,0,0
13,840,0.09,0.5,5,3,1,0,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.02949931495822966,0,1.333/5,0,1,0,0,0,0,0,0,0
14,840,0.09,0.5,5,3,1,0,3/5:1/4,fraction,div,FR,UD,2.4,15,0.06342374603264034,1,12/5,0,0,0,0,0,0,0,1,0
15,840,0.09,0.5,5,3,1,0,2/3:3/5,fraction,div,FR,UD,1.111111111111111,10,0.04138660803437233,0,0.667/0.6,0,0,0,0,0,1,0,0,0
0,743,0.08,0.5,5,3,1,75,3/5+1/5,fraction,add,FR,ED,0.8,9,0.0391126861795783,1,4/5,0,1,0,0,0,0,0,0,0
1,743,0.08,0.5,5,3,1,75,4/5+3/5,fraction,add,FR,ED,1.4,9,0.03859501797705889,1,7/5,0,1,0,0,0,0,0,0,0
2,743,0.08,0.5,5,3,1,75,3/5+1/4,fraction,add,FR,UD,0.85,15,0.06391751393675804,0,4/9,0,0,0,0,0,0,0,0,1
3,743,0.08,0.5,5,3,1,75,2/3+3/5,fraction,add,FR,UD,1.266666666666667,43,0.1843174388632178,1,19/15,0,0,0,1,0,0,0,0,0
