model,set,prob,accuracy
uma-60,sd_add,9+6,0.5833333333333334
uma-60,sd_add,9+7,0.7833333333333333
uma-60,sd_add,9+8,0.8166666666666667
uma-60,sd_add,9+9,0.6166666666666667
uma-60,sd_mul,2*2,0.8833333333333333
uma-60,sd_mul,2*3,0.8333333333333334
uma-60,sd_mul,2*4,0.8
uma-60,sd_mul,2*5,0.7833333333333333
uma-60,sd_mul,2*6,0.8
uma-60,sd_mul,2*7,0.8
uma-60,sd_mul,2*8,0.85
uma-60,sd_mul,2*9,0.7
uma-60,sd_mul,3*2,0.8333333333333334
uma-60,sd_mul,3*3,0.7333333333333333
uma-60,sd_mul,3*4,0.75
uma-60,sd_mul,3*5,0.6166666666666667
uma-60,sd_mul,3*6,0.7666666666666667
uma-60,sd_mul,3*7,0.7
uma-60,sd_mul,3*8,0.7666666666666667
uma-60,sd_mul,3*9,0.65
uma-60,sd_mul,4*2,0.8333333333333334
uma-60,sd_mul,4*3,0.7666666666666667
uma-60,sd_mul,4*4,0.5833333333333334
uma-60,sd_mul,4*5,0.6
uma-60,sd_mul,4*6,0.6666666666666666
uma-60,sd_mul,4*7,0.6
uma-60,sd_mul,4*8,0.6666666666666666
uma-60,sd_mul,4*9,0.5333333333333333
uma-60,sd_mul,5*2,0.8
uma-60,sd_mul,5*3,0.5666666666666667
uma-60,sd_mul,5*4,0.5833333333333334
uma-60,sd_mul,5*5,0.45
uma-60,sd_mul,5*6,0.7
uma-60,sd_mul,5*7,0.6833333333333333
uma-60,sd_mul,5*8,0.6333333333333333
uma-60,sd_mul,5*9,0.4
uma-60,sd_mul,6*2,0.8
uma-60,sd_mul,6*3,0.7333333333333333
uma-60,sd_mul,6*4,0.65
uma-60,sd_mul,6*5,0.6666666666666666
uma-60,sd_mul,6*6,0.31666666666666665
uma-60,sd_mul,6*7,0.6333333333333333
uma-60,sd_mul,6*8,0.5833333333333334
uma-60,sd_mul,6*9,0.45
uma-60,sd_mul,7*2,0.8333333333333334
uma-60,sd_mul,7*3,0.6666666666666666
uma-60,sd_mul,7*4,0.6166666666666667
uma-60,sd_mul,7*5,0.6333333333333333
uma-60,sd_mul,7*6,0.6
uma-60,sd_mul,7*7,0.26666666666666666
